t,L_ancle_x,L_ancle_y,L_heel_x,L_heel_y,L_toe_x,L_toe_y,L_leg_x,L_leg_y,L_knee_x,L_knee_y,L_hip_x,L_hip_y,L_asis_x,L_asis_y,L_shoulder_x,L_shoulder_y
3.37,345.83,-389.4,348.67,-422.05,290.12,-404.02,374.13,-219.73,373.5,-208.1,461.05,-28.42,423.92,24.78,482.62,263.05
3.4,340.85,-392.4,346.68,-422.04,286.27,-414.14,365.13,-223.73,364.51,-208.11,448.05,-31.42,411.91,22.79,473.61,261.06
3.44,335.85,-393.42,344.67,-422.07,283.43,-420.21,355.13,-224.73,356.51,-208.11,433.05,-32.42,399.9,21.81,463.61,259.05
3.47,333.84,-394.43,346.74,-423.04,281.51,-423.25,344.52,-228.6,346.51,-208.12,415.05,-31.42,387.91,22.83,452.61,256.05
3.5,332.82,-395.43,346.74,-422.06,279.51,-424.23,338.52,-228.6,338.59,-209.75,409.29,-30.42,375.92,24.85,441.62,254.05
3.54,331.83,-395.44,346.73,-422.07,278.51,-424.22,333.52,-228.6,332.71,-213,397.04,-28.42,361.91,26.86,430.61,253.04
3.57,331.83,-395.46,346.73,-422.09,277.51,-424.22,324.65,-228.6,328.71,-213,383.41,-28.42,346.93,28.86,417.62,252.05
3.6,331.83,-395.48,346.72,-422.11,277.51,-424.22,322.64,-229.59,326.71,-214,373.64,-29.67,332.92,30.86,405.62,253.06
3.64,331.84,-395.5,346.72,-422.13,281.57,-425.23,320.63,-229.59,324.71,-214,366.76,-23.79,330.08,29.57,393.62,256.05
3.67,331.85,-395.52,346.71,-422.15,281.57,-425.23,318.65,-229.6,323.71,-214,357.13,-21.65,322.2,31.21,382.62,259.05
3.7,332.82,-396.51,346.71,-422.17,281.57,-425.23,318.64,-230.59,321.72,-214,351.49,-20.88,305.83,26.98,370.62,262.05
3.74,332.79,-396.5,346.71,-422.19,281.57,-425.22,317.63,-231.58,319.72,-214,343.1,-21.9,295.45,29.88,359.62,265.05
3.77,332.77,-396.49,346.7,-422.21,281.57,-425.21,314.63,-230.59,316.73,-213.01,334.11,-21.9,289.7,36.64,347.62,267.05
